iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"759,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BLK","BLACKROCK INC","Financials","Equity","981,988,938.59","0.32","981,988,938.59","1,362,719.00","720.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","975,265,694.40","0.32","975,265,694.40","11,995,888.00","81.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","969,004,808.01","0.32","969,004,808.01","2,549,543.00","380.07","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","961,518,440.76","0.32","961,518,440.76","3,755,638.00","256.02","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","955,974,101.76","0.32","955,974,101.76","8,344,746.00","114.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","947,290,926.02","0.31","947,290,926.02","11,328,521.00","83.62","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","908,675,114.49","0.30","908,675,114.49","4,208,193.00","215.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","887,649,398.24","0.29","887,649,398.24","10,452,772.00","84.92","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA CORP","Health Care","Equity","880,311,911.43","0.29","880,311,911.43","2,757,783.00","319.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","877,294,873.46","0.29","877,294,873.46","5,045,114.00","173.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","851,788,093.38","0.28","851,788,093.38","17,504,893.00","48.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","847,214,248.36","0.28","847,214,248.36","9,911,257.00","85.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","846,022,407.18","0.28","846,022,407.18","3,227,738.00","262.11","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","827,698,377.20","0.27","827,698,377.20","10,589,795.00","78.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","826,741,845.00","0.27","826,741,845.00","5,421,258.00","152.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","822,335,891.70","0.27","822,335,891.70","7,854,211.00","104.70","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","809,726,432.79","0.27","809,726,432.79","5,440,613.00","148.83","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","805,084,356.81","0.27","805,084,356.81","12,387,819.00","64.99","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","793,244,247.18","0.26","793,244,247.18","3,774,837.00","210.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","759,562,373.70","0.25","759,562,373.70","4,693,002.00","161.85","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","755,484,965.00","0.25","755,484,965.00","4,510,358.00","167.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","747,343,669.16","0.25","747,343,669.16","5,299,558.00","141.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","729,176,421.98","0.24","729,176,421.98","1,825,771.00","399.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","728,458,434.18","0.24","728,458,434.18","2,315,286.00","314.63","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","719,429,388.60","0.24","719,429,388.60","16,276,683.00","44.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","713,036,026.47","0.24","713,036,026.47","967,839.00","736.73","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","695,766,945.48","0.23","695,766,945.48","358,591.00","1,940.28","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","684,239,988.48","0.23","684,239,988.48","12,803,892.00","53.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","684,067,109.84","0.23","684,067,109.84","1,314,452.00","520.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","682,646,530.88","0.23","682,646,530.88","4,191,101.00","162.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","679,745,777.92","0.22","679,745,777.92","3,039,872.00","223.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
